90012,,34.06, -118.24,,31103,,9618,,11370,,394500,,323,,006,,10327,,28879,,
91356,,34.16, -118.55,,29458,,4016,,12454,,704700,,733,,000,,11686,,70759,,
91604,,34.14, -118.39,,29034,,5636,,15373,,824000,,515,,007,,14292,,88579,,
93704,,36.80, -119.80,,27156,,4955,,11678,,209800,,548,,000,,10830,,45866,,
93280,,35.6, -119.5<,,27152,,84,,6012,,132000,,32206,,004,,5570,,39038,,
94580,,37.68, -122.14,,27152,,7875,,8958,,343900,,345,,001,,8624,,71098,,
94510,,38.12, -122.13,,27088,,969,,11338,,423700,,2795,,336,,10717,,88930,,
93960,,36.4, -121.3<,,27080,,133,,4359,,212700,,20402,,510,,4096,,50504,,
91316,,34.16, -118.51,,26898,,5372,,12692,,487700,,501,,027,,11911,,59199,,
94131,,37.75, -122.44,,26881,,12926,,13427,,859700,,208,,002,,12618,,96889,,
90061,,33.92, -118.27,,26872,,10094,,7385,,256400,,266,,000,,6892,,33476,,
95354,,37.64, -120.97,,25394,,3459,,9836,,127400,,734,,002,,8841,,36285,,
91504,,34.21, -118.33,,24939,,5053,,9702,,580400,,494,,001,,9180,,73151,,
95815,,38.61, -121.45,,24680,,3145,,10004,,116600,,785,,040,,8754,,31274,,
95531,,41.8, -124.1<,,24528,,126,,9176,,199700,,19517,,2974,,8253,,39486,,
94530,,37.91, -122.30,,23877,,4945,,10914,,571800,,483,,000,,10323,,84466,,
91201,,34.17, -118.29,,22781,,9647,,8590,,615300,,236,,001,,8150,,50107,,
93907,,36.8, -121.7,,21726,,403,,7512,,355100,,5397,,030,,7090,,68497,,
95827,,38.56, -121.32,,20269,,2663,,7846,,182700,,761,,025,,7311,,51981,,
90603,,33.95, -117.99,,20063,,6136,,7007,,423500,,327,,000,,6788,,90477,,
95818,,38.56, -121.49,,19811,,5158,,10143,,408500,,384,,015,,9370,,57500,,
93514,,37.5, -118.3<,,13857,,12,,6663,,283700,,111576,,467,,5898,,51218,,
95320,,37.8, -121.0,,12819,,145,,4657,,235800,,8863,,055,,4376,,55688,,
93646,,36.66, -119.28,,10557,,248,,2671,,135800,,4261,,000,,2473,,27906,,
93620,,37.1, -120.7<,,9591,,55,,3296,,107500,,17467,,032,,2897,,34579,,
92069,,33.18, -117.16,,46369,,2818,,14538,,362800,,1645,,000,,13899,,51158,,
92324,,34.03, -117.28,,56505,,1915,,17685,,160600,,2951,,072,,16209,,41198,,
94930,,38.0, -122.7,,8500,,534,,4023,,684700,,1592,,041,,3798,,89306,,
95470,,39.3, -123.3<,,6032,,73,,2391,,348500,,8252,,024,,2214,,62090,,
95365,,37.31, -120.29,,4985,,329,,1272,,90800,,1517,,000,,1168,,32500,,
94158,,37.770, -122.391<br,,4792,,7288,,2482,,643900,,066,,052,,2271,,82195,,
96137,,40.5, -121.0<,,3297,,68,,3872,,266100,,4841,,015,,1491,,46463,,
95428,,39.7, -123.1<,,2516,,11,,1160,,223200,,22519,,067,,974,,27339,,
95415,,39.03, -123.39,,1592,,29,,629,,383800,,5528,,000,,553,,35871,,
89439,,39.50, -119.98,,1417,,97,,718,,225000,,1458,,012,,671,,64145,,
93544,,34.5, -117.8,,1259,,11,,762,,167200,,10955,,021,,569,,51750,,
95636,,38.63, -120.48,,1101,,9,,678,,174200,,11594,,000,,445,,50000,,
95701,,39.22, -120.80,,983,,29,,573,,308600,,3333,,008,,404,,55682,,
94937,,38.1, -122.9<,,837,,20,,762,,1000001,,4160,,1131,,426,,50045,,
95552,,40.2, -123.2<,,697,,1,,749,,239600,,53972,,170,,333,,31688,,
94567,,38.7, -122.4,,623,,5,,312,,262500,,13141,,242,,230,,56821,,
92268,,34.157, -116.497<b,,574,,7,,482,,226400,,8084,,000,,294,,40333,,
96121,,40.1, -120.4<,,368,,11,,184,,245500,,3348,,135,,155,,72143,,
95717,,39.18, -120.85<br,,231,,23,,144,,275000,,1022,,000,,113,,38375,,
93033,,34.15, -119.14,,82728,,2821,,17696,,265700,,2933,,013,,17065,,53400,,
93307,,35.2, -118.8<,,82658,,595,,23411,,109700,,13890,,029,,21275,,33711,,
92592,,33.5, -117.0<,,72492,,746,,24146,,322300,,9723,,127,,22466,,88355,,
92805,,33.83, -117.91,,70401,,11167,,18804,,349300,,630,,002,,17599,,53532,,
92105,,32.74, -117.09,,69813,,12534,,21744,,266700,,557,,000,,20540,,37534,,
90003,,33.96, -118.27,,66266,,18660,,17127,,231700,,355,,000,,15642,,29686,,
92021,,32.84, -116.88,,65068,,2181,,23881,,299000,,2983,,022,,22649,,49521,,
90731,,33.74, -118.27,,59662,,6492,,23914,,440700,,919,,644,,22044,,50210,,
95020,,37.0, -121.5<,,57349,,368,,17629,,463000,,15594,,089,,16771,,81037,,
93063,,34.29, -118.69,,54366,,1650,,19234,,423400,,3295,,014,,18650,,84216,,
92563,,33.59, -117.13,,53892,,2650,,17192,,269700,,2034,,001,,15914,,78880,,
94601,,37.77, -122.22,,50294,,15487,,16362,,267300,,325,,012,,14826,,38305,,
92025,,33.09, -117.06,,49978,,2268,,15781,,404000,,2204,,045,,14902,,45983,,
90024,,34.07, -118.43,,47452,,16154,,19932,,963400,,294,,000,,17903,,54373,,
94014,,37.69, -122.44,,47014,,7454,,14284,,519100,,631,,000,,13537,,71739,,
94577,,37.71, -122.16,,45560,,5591,,17714,,378200,,815,,137,,16710,,63388,,
94303,,37.45, -122.12,,45467,,5710,,14551,,958800,,796,,073,,13238,,80127,,
90027,,34.13, -118.29,,45151,,5464,,23390,,793200,,826,,010,,21929,,47993,,
92688,,33.63, -117.61,,43792,,4018,,16120,,474800,,1090,,004,,15530,,98821,,
92395,,34.52, -117.30,,42400,,2479,,15854,,139000,,1710,,072,,14021,,38084,,
92054,,33.20, -117.37,,40375,,3381,,17924,,426200,,1194,,083,,15218,,49534,,
95926,,39.74, -121.84,,37725,,4931,,16385,,270100,,765,,000,,15419,,39216,,
93711,,36.84, -119.83,,36731,,3248,,16376,,306500,,1131,,014,,15409,,65678,,
91311,,34.30, -118.60,,36557,,1140,,14021,,438500,,3208,,093,,13425,,78414,,
93612,,36.81, -119.71,,35351,,5344,,14584,,159800,,661,,000,,13612,,39801,,
93561,,35.1, -118.4<,,34630,,131,,12824,,217000,,26415,,029,,10937,,57433,,
91722,,34.10, -117.91,,34409,,8330,,10450,,335900,,413,,000,,10079,,66268,,
94952,,38.2, -122.8<,,32858,,182,,13904,,546300,,18024,,116,,13069,,76813,,
